#{"t_start": 1764217744.5603702, "env_id": "CartPole-v1"}
r,l,t
500.0,500,225.117765
500.0,500,225.709801
500.0,500,226.32502
500.0,500,226.90938
500.0,500,228.696419
500.0,500,229.272573
500.0,500,229.846515
500.0,500,230.414064
500.0,500,232.235985
500.0,500,232.80478
500.0,500,236.534892
500.0,500,237.100398
500.0,500,238.862999
500.0,500,239.445866
500.0,500,240.015923
500.0,500,240.573436
500.0,500,242.291768
500.0,500,242.84615
500.0,500,243.419333
500.0,500,243.969556
500.0,500,248.84276
500.0,500,249.436738
500.0,500,250.033643
500.0,500,250.596565
500.0,500,252.401919
500.0,500,252.968169
500.0,500,253.520521
500.0,500,254.100289
500.0,500,255.835983
500.0,500,256.429656
500.0,500,260.225421
500.0,500,260.80375
500.0,500,262.58109
500.0,500,263.166053
500.0,500,263.753987
500.0,500,264.343611
500.0,500,266.118096
500.0,500,266.673237
500.0,500,267.257519
500.0,500,267.826679
500.0,500,272.644197
500.0,500,273.220618
500.0,500,273.799815
500.0,500,274.37905
500.0,500,276.133857
500.0,500,276.710478
500.0,500,277.273254
500.0,500,277.842948
500.0,500,278.417149
500.0,500,280.176356
500.0,500,283.826259
500.0,500,284.381521
500.0,500,284.945429
500.0,500,286.635746
500.0,500,287.261722
500.0,500,287.949653
500.0,500,288.656312
500.0,500,291.000913
500.0,500,291.868314
500.0,500,292.570029
500.0,500,297.673718
